expr_true,expr_pred,mse,mae,r2,pointwise_acc,symbolic_match
x_2*sin(x_1**2 + x_1*x_2),(x_2 + 0.200145897659467)*sin(x_1*(x_2 - 0.729147083240049*x_2/x_3 + 0.219419692150831)),31.864063,3.89792,-0.8985211849212646,0.0469,0.0
-x_1/(x_1 - x_2 + x_3 - 1) + x_3,((x_3)+((x_1)*(((x_2)+(((-1)*(x_1))+((-1)*(x_3))))**(-1)))),28452.938,7.3969593,-0.2547318935394287,0.6359,0.0
x_2/(x_2 + cos(x_1*x_3)),x_2/(x_2 + cos(x_3*(x_2 - 0.0411326063882413)) - 0.352761134207634),631.00256,1.171628,-1.6112794876098633,0.1771,0.0
1 + tan(x_2)/(x_2*(-x_1 + x_2)),(x_1 + x_2 - cos(x_2 - 0.492275267949425) - 0.268530138008301)/(1.14047046221537*x_1 + x_2),2342.44,2.7133696,-0.5992484092712402,0.1459,0.0
1/(x_1 - sin(cos(x_2))),(sin(x_1) + 0.243414457424021)/(x_1 - tan(x_2 + 0.162903554492612*x_3) + 0.00825800576630137),390.1813,1.5150574,-0.2343287467956543,0.0383,0.0
(x_1 + 1)/(x_2 + 1) + 1,cos(sin(x_3 + 2.44376784866725)) + (x_1 + x_2 - 3.26352382830257)/(x_2 - 0.55354759142647),358215.8,18.643211,-21.935211181640625,0.031,0.0
log(-x_1 + x_2)/(x_2*(x_2 - 1)),1.54053301619619*cos((-0.782808561159239*x_1*x_2 + x_3)/x_1)/(x_2 - 1.00036735681696),1282.5479,2.849731,-0.39511704444885254,0.0118,0.0
(x_3 - 1)*sin(x_1 + x_1/x_2),(x_3 - 0.992137867476706)*sin(x_1 + 1.00016808567349*x_1/x_2),0.0037485394,0.0068260147,0.9997849861101713,0.9838,1.0
x_2*x_3*cos(x_1 + x_2) + x_2,5.54946338222057e-5*x_1 + x_2*x_3*cos(x_1 + x_2) + x_2 + 0.00519690656548356,2.7064327e-05,0.0051925164,0.9999999550093897,0.987,0.0
sin(x_2*tan(x_1**3 - x_2)),sin(x_2*(x_3 + 1.39336100065957)) - 0.0517330709089563*cos(0.352401193015931*x_1),0.97536707,0.79938686,-1.0451257228851318,0.0438,0.0
x_1*cos(sqrt(log(x_2))) + x_3,x_1/(-0.00019344971154479*x_2**4 + x_2) + x_3,0.33425644,0.41628468,0.9912870367988944,0.4353,0.0
x_1*sqrt(-x_3 + sin(x_2)),(x_1 - 0.0518140692513674)*Abs(-0.273860343643736*x_3 + sin(x_2) + 0.691126897080297),10.205248,2.4169095,0.9390260800719261,0.0975,0.0
cos(x_1 - tan(x_2**3)),-0.0191422632775492*sin(x_2*x_3) + cos(x_1 + 0.00764351724726937*x_2),0.61479294,0.57068723,-0.22571074962615967,0.1203,0.0
-x_2 + (x_3 + sin(x_1/x_2))/x_3,-x_2 + (x_3 + sin(x_1/x_2) - 0.00332964895058852)/x_3,0.0017691418,0.0034914215,0.9999838708426978,0.9984,0.0
x_3 + 1/(x_2 - log(x_1 + x_2)),x_3 - 0.0298278186033166 + cos(tan(0.526590831544996*x_1*x_2))/(x_2 - 1.97380398078996),157429.62,6.81862,-0.001896500587463379,0.5471,0.0
sin(x_1**2) + 1/x_2,-0.000453905041158192*x_3 + sin(x_1**2) + 1/x_2,6.8653094e-06,0.0022677998,0.9999998959506016,0.9808,1.0
-x_2 + log(x_1*(-x_2 + exp(-1))),-x_2 + 0.0018294251639106*x_3 + log(Abs(x_1)*Abs(x_2)),0.17408893,0.18299058,0.9952402198687196,0.6833,0.0
(x_1 + cos(1))*log(x_2),0.500472141388623*(x_1 + 0.631321849719008)*log((x_2 - 0.040079661193635*x_3)**2),3.2987344,0.59338284,0.9631368219852448,0.5515,0.0
x_2 + sqrt(1 + x_3/(x_1*x_2)),x_2 + 1.0042561389984 + (0.209712216254825*x_3 + cos(x_2 - 1.74476097089064))/(x_1*x_2),20.447073,0.276566,0.43883877992630005,0.7813,0.0
(x_1 - x_3)/sin(x_1*x_2),(((sin((x_1)*(x_2)))**(-1))*((x_1)+((-1)*(x_3)))),0.0,0.0,1.0,1.0,1.0
x_2*sqrt(x_1/x_3 + x_2)/x_3,(-1.16560806069084*x_2*(x_3 - 8.40993119109509) + cos(x_1/x_2))/x_3,159538050.0,172.43117,0.25461655855178833,0.0112,0.0
sin(x_2/x_1) + sin(x_1 - x_2),x_2/(x_1 - 1.30725142425479) + sin(x_1 - x_2/x_3),3068.1719,5.0131283,-3150.14794921875,0.0328,0.0
cos(x_1) - sqrt(cos(x_2)),cos(x_1) - 0.748554817870417*cos(x_2 - 0.00147602325702769*x_3) - 0.281656457956254,0.0019665826,0.03299663,0.9965548035688698,0.6045,0.0
x_1*(x_1 + x_2 + x_3 + sin(x_2)),x_1*(1.00013092670169*x_1 + x_2 + x_3 + sin(x_2)),3.501865e-05,0.0044209748,0.9999999891860432,0.9992,1.0
x_2*(x_1 + log(cos(x_3)))/x_1,x_2 + 0.269397630833233*(0.477753823120427*x_1 + x_2)*tan(x_3)/x_1,5605.383,5.016321,-4.3852667808532715,0.4218,0.0
x_1 + sin(log(x_2*(x_2 - 1))),x_1 + 0.301489496706854*cos(log((x_2 - 0.203130940855563*x_3)**2)),0.47723252,0.6078505,0.9857611637562513,0.1857,0.0
(-x_1 + x_3)*log(-x_1 + x_2),(((x_3)+((-1)*(x_1)))*(ln(Abs((x_1)+((-1)*(x_2)))))),0.0,0.0,1.0,1.0,0.0
x_3 - cos(x_1**3*x_2**3),x_3 - 0.117260757378597*cos(x_1*(x_2 + 0.158743109034083)),0.5176826,0.64870733,0.9846916757524014,0.1596,0.0
cos((-x_1 + sin(x_2) - 1)**3),-0.145674202501424*sin(0.787329221626713*x_1) + cos(x_2*x_3*(x_1 - 1.27827097034414)),1.0243189,0.82191855,-0.9421721696853638,0.0385,
x_2 + sin(x_1**5 + x_3),x_2 + sin(x_1**4 + x_3) + 0.0563983912719886,0.8844248,0.73258126,0.9736367389559746,0.2812,0.0
x_1 + x_2/(exp(x_2) - 1),x_1 + x_2*x_3/(x_3 + exp(x_3)) + 2.71855247779725,297.1374,6.02899,-5.939413070678711,0.0217,0.0
tan(cos(x_1) + tan(1)),cos(cos(x_2 + 2.71025047273441*x_3))/cos(x_1),2918.7666,8.319986,-2.995631456375122,0.0003,0.0
x_1 + 1 + 1/(x_1 + 1),x_1 + 0.463164439745398 + cos((x_1 - x_2)/x_3)/(x_1 + 0.979353413313818),1129.2047,1.6838863,-0.9438357353210449,0.1236,0.0
cos(sin(x_1)) - 1/x_1,cos(0.014319898856256*x_2*x_3) + cos(sin(x_1))/x_1,1414.884,2.0093691,-2.9992215633392334,0.0379,0.0
x_1*log(sin(tan(x_1))),(x_1 + 0.312911748206483)*Abs(cos(x_3) - 10.0403548672843)/(cos(x_2 + x_3) - 10.3072876024363),34.066406,3.8672743,0.47915834188461304,0.0285,0.0
(x_1 + sin(x_2))*(sqrt(x_2) + x_3),(x_1 + sin(x_2))*(0.247217752053501*x_2 + x_3 + 0.883002144375068),0.74717927,0.55296046,0.999421363696456,0.7877,0.0
tan(sin(x_1*tan(x_2) - x_3)),(asin(sin(((-1)*(x_3))+((x_1)*(tan(x_2)))))),0.0068337936,0.06317294,0.9929345194250345,0.4312,0.0
sin(x_2*(-x_1 + x_2 - x_3 + 1)),0.00882795265559041*x_1 - 0.0876996837815835*asin(sin(x_2*(x_3 + 0.905996690112015))),0.50358063,0.63531446,-0.015318512916564941,0.0032,0.0
log(cos(x_1**2 - x_2*x_3)),log(0.508002769822407 - 0.0323021166444788*cos(x_1 + x_2 - x_3 + 0.325491523134675)),0.77027947,0.62890327,-0.0026055574417114258,0.0266,0.0
sin(sin(x_2*x_3/x_1**2)),sin((0.781613441675299*x_2*x_3 - sin(0.65336620933357*x_1))/x_1) - 0.0436503420519237,0.77385193,0.7149932,-1.7086782455444336,0.0192,0.0
x_1 + sin(exp(x_2) + cos(x_2)),x_1 + cos(x_2 + 1.16057298159663*exp(x_2 + x_3)),0.6196636,0.54563886,0.9816000200808048,0.4239,0.0
x_1 + sqrt(x_1 - x_3) + sin(x_2),1.20606863137437*x_1 - 0.206906305352408*x_3 + sin(x_2) + cos(cos(x_2)) + 0.242911423624245,0.07736625,0.2196395,0.9972552044782788,0.6881,0.0
1 - sin(x_1*(x_1 + sin(x_1))),0.938224306928644 - sin(5.34970380064988e-5*x_1*(-20.3191324781888*x_1 + sin(x_2 + x_3))),0.4740743,0.6098732,0.0059937238693237305,0.0474,0.0
x_1/(x_2 + (x_1 + tan(x_3))/x_2),(x_1 + 6.6588613829528*sin(x_3))/(x_2 - tan(0.454726471837264*x_2) - 22.298782916049),883.0194,2.3904653,-0.00032722949981689453,0.0083,0.0
-log((x_1 + x_2)**2),-0.00104352441867477*x_1/(x_1 + x_2 + 0.363063592478627) - log((x_1 + x_2)**2),0.0040897722,0.0047845514,0.999172478041146,0.9854,1.0
x_1*(-x_1 + cos(sqrt(x_2))**2),x_1*(-x_1 + cos(0.394503968105651*x_2)**2),2.5808628,1.1032647,0.9971603965386748,0.571,0.0
-exp(cos(x_1)) + sin(x_1),sin(x_1 - 0.000244152279341639*x_2*x_3) - 1.09075446572812*cos(x_1) - 1.28143116769453,0.037784755,0.17115022,0.9670019000768661,0.1487,0.0
x_2 + 1/(-x_1*(x_3 - 1) + x_2),x_2 + cos(0.381840927276795*x_1)/(-x_1*x_3 + x_2 - 0.251685843241306),821.8212,0.78946555,0.01277017593383789,0.8048,0.0
x_1 + cos(1 + 1/x_2),x_1 - sin((5.76379734058924*x_2 + sin(x_3) + 0.68916011451444)/x_2),0.10604817,0.18887414,0.9967997178900987,0.6874,0.0
x_3/(x_1 - x_2*exp(x_2) - 1),(x_3 - 2.40384506895235)*cos(2.90254030670274*x_1)/(x_1 - 1.87642145678567*exp(x_2)),4061.4744,4.1683598,-0.24667119979858398,0.1646,0.0
tan(exp(x_1 - x_2)) - 1,tan(0.0328197537386753*exp(x_1/2 - x_2/2 + x_3/2)) - 0.388205690412625,5803.991,5.3870997,-1.6308619976043701,0.0068,0.0
cos(x_1**5*(x_2 - x_3)**5)/x_1,(-sin(x_2*x_3) + cos(7.07593963052568*x_1 - 0.292969735513213))/x_1,124.47281,0.87937814,0.3427772521972656,0.0198,0.0
x_1*cos(x_2)*tan(x_2),(x_1 + 0.00754922459327279*sin(x_2 + x_3))*sin(x_2),1.4011289e-05,0.0030004745,0.9999991365360756,0.9952,0.0
exp(cos((x_1 + x_2 + 1)**4)),exp(cos((x_1 + 0.0788606709951718)*(x_2 - 0.0880982603411729*x_3 + 0.723717134322151))),1.427155,0.9453009,-0.887138843536377,0.0713,
x_3/(x_2*(x_3**2 + tan(x_1))),sin(x_1*x_2)/(x_2*(tan(0.168654831734963*x_3) + 13.5265777623006)),61.262558,0.41483295,-0.05299115180969238,0.0056,0.0
-x_3 + (-x_1 + x_2)/log(x_2) - 1,-0.379776948097599*x_1 - x_1/(x_2 + 109.034709985561) - 0.80848418157859*x_2 - x_3 + 8.27088547728335,32819.566,11.11619,0.0013127326965332031,0.0835,0.0
x_2 + cos(tan(x_1 - cos(1))),x_2 + cos(sin(x_3) - tan(x_1 - 0.540079366325811)),0.20884377,0.35789874,0.9938227566890419,0.4263,0.0
-x_2 + cos(x_2 - 1)/x_1,-x_2 + (sin(x_2*(x_3 - 3.72181678619018)) + 0.473772258041951)/x_1,58.279514,0.68157846,-0.31317710876464844,0.5461,0.0
log(x_1/sin(1/x_1)),log(x_1**2) - 0.0111305804639022*sin(x_2*x_3),0.21565706,0.10662715,0.9048337116837502,0.8425,0.0
x_3/(x_2 + cos(x_1/cos(x_2))),(-0.830557072086969*x_1 + x_3)/(x_2 + cos(0.507481039199328*x_1*x_2)),296642.3,13.9831295,-0.01578080654144287,0.0464,0.0
x_1 + x_1/(x_2*(x_1 + cos(x_2))),x_1 + (x_1 - 0.132788740841387)/(x_2*(x_1 + cos(x_3))),13295.64,2.4591026,-23.322423934936523,0.7793,0.0
x_2/((x_1 + tan(x_2))*(x_2 + x_3)),(sin(x_1) - tan(0.0435555168549492*x_2))/(x_2 + x_3),35585.684,5.786536,-0.04412436485290527,0.0137,0.0
x_1 - x_2*(cos(x_2) - cos(x_3)),((x_1)+((x_2)*(((-1)*(cos(x_2)))+(cos(x_3))))),0.0,0.0,1.0,1.0,1.0
x_3*cos(x_2 + x_3) + cos(x_1),(((x_3)*(cos((x_2)+(x_3))))+(cos(x_1))),0.0,0.0,1.0,1.0,1.0
x_2**2 - cos(cos(x_1)),x_2**2 + sin(0.999180969967447*cos(x_1 + 0.000868451719030453*x_3) - 1.56559450876555),1.4240275e-05,0.003160691,0.9999999839276335,0.9946,0.0
-x_2*sin(x_1*(x_3 - 1)),-(x_2 - 0.376070952652517)*sin(1.10841247624814*x_1*(-1.10589366651808*x_1 + x_3)),31.30482,3.8635492,-0.9248881340026855,0.0354,0.0
tan(cos(x_1) - tan(1)) - 1,tan(cos(x_1) + 0.0787300332879746) - 1.33024859222911 - 1/(x_2*x_3),20685.178,7.8348765,-14.28171157836914,0.0011,0.0
(x_2 + x_3 - cos(x_1))/x_3,-0.0925925554111063*sin(0.35911451761709*exp(x_1)) + (x_2 + x_3 + 0.0821612595960984)/x_3,151.20204,0.7042491,0.9295508712530136,0.2233,0.0
x_1*(sin(x_2) - sin(x_3)/x_2),(((x_1)*(sin(x_2)))+((-1)*((x_1)*(((x_2)**(-1))*(sin(x_3)))))),2.5590532e-12,1.7662356e-07,1.0,1.0,1.0
x_3*cos(x_1**2 + x_2)**3,(x_3 + 0.0138346604439992)*cos(x_1**2 + x_2)**3,5.942615e-05,0.0058230045,0.9999941723826851,0.9845,0.0
tan((x_1 - x_2**5)*sin(x_3)),tan((x_1 - 0.391398718232398)*(-3.50640432798263*x_1/x_3 + x_2)),43535.176,12.229029,-0.1344163417816162,0.0091,0.0
-x_1*sin(tan(x_1*x_2)) + x_1,x_1*sin(0.000140151855034559*x_2*x_3 - 0.00469828565988713*x_2) + x_1,14.624203,2.9223723,0.698481023311615,0.0444,0.0
cos(1 - (x_2*x_3 + x_2)/x_1),-0.0774786585969786*sin(2.44416874576338*x_1) + sin(x_2*x_3/x_1),0.6918424,0.64302117,-0.4091731309890747,0.0591,0.0
x_1 - (x_2 + x_3)*sin(x_1) + 1,x_1 - (x_2 + x_3)*sin(x_1) + 0.996099048253634,1.5216537e-05,0.003900838,0.9999997684048054,0.9951,1.0
-1/tan(x_1*x_2),1/tan(1.20652142632069*x_1*x_2*(x_3 + 0.53502000329469)),103420.35,14.984218,-0.10932600498199463,0.0098,0.0
sin(x_1) + tan(tan(exp(x_1))),tan(0.067378754925397*x_1 + 0.0846744849120609) - cos(x_2 + x_3)/x_1,1607.1696,3.2798376,-0.6330145597457886,0.0135,0.0
(x_2 + x_3 + (x_2 - 1)/x_2)/x_1,(-0.0173145708358731*x_1 + x_2 + x_3 + 0.723358230903042 - (x_1 + 1.27020248698733)/x_2)/x_1,1111.3986,1.6143343,0.3363998532295227,0.1851,0.0
x_1/(x_2*(-x_2 + x_3)) - x_2,(((-1)*(x_2))+((x_1)*(((x_2)**(-1))*(((x_3)+((-1)*(x_2)))**(-1))))),0.0,0.0,1.0,1.0,1.0
x_2 + x_3/(-x_1*x_3 - x_2),-0.0222629680890439*x_1 + x_2 - x_3/(1.63690206838653*x_1*(x_2 + 5.30330022742939) + x_2),2377.2004,2.180544,-0.24517381191253662,0.503,0.0
sin(x_3*(x_1 - x_2 + 1)),-0.047158035367941*sin(0.690650807748757*x_3) - sin(0.00325448559786122*x_1)/x_2,1.783189,0.64863765,-2.6107380390167236,0.0015,0.0
-x_2 + x_3*sin(cos(tan(x_1))),-x_2 + 0.875279294302813*x_3*cos(tan(x_1)),0.025485992,0.12401101,0.9994726405129768,0.7674,0.0
sin(x_2*(x_1 + x_3)**2 + x_2),0.325599481678146*sin(0.00703610343972321*x_3) - sin(0.0622731864653503*x_1*x_2),0.92676175,0.7815894,-0.8736811876296997,0.0437,0.0
x_1*(x_2 - asin(1/x_1)),x_1*x_2 - 1.28117370997136*cos(sin(2.3417583116475*x_3)),0.0473365,0.19269471,0.9999616580098518,0.8993,0.0
cos(sqrt(x_1**2 - 1)),((((x_1)**(-1))*(sin((x_2)+(x_3))))+(cos(x_1))),0.06806346,0.17477085,0.8626625239849091,0.1234,0.0
x_1*(x_1 + x_2*cos(x_3)) + 1,x_1*(x_1 + x_2*cos(x_3)) + 0.000879540278421222*x_1 + 1.00640489173995,6.6134024e-05,0.0066855196,0.9999999535657658,0.9953,1.0
x_1*cos(x_2**3 + x_2),(x_1 - 0.000407668223527752*x_3)*cos(x_2**3 + x_2),2.8309037e-06,0.0013173292,0.9999998349343002,0.9982,1.0
tan(x_2 + (x_1 + x_3)/(x_2*x_3)),tan(x_2 + (x_1 + x_2 - 0.233024211586731)/(x_2*x_3)),315684.6,17.181192,-0.03225362300872803,0.0496,0.0
exp(1 - cos(x_1)) + 1,2.72469982244368*exp(2.22014270199793e-5*x_2*x_3 - cos(x_1)) + 0.991057509347233,4.1256255e-05,0.0054467283,0.9999924233529782,1.0,0.0
x_1 - sqrt(x_1 + x_2)/x_2,x_1 + 0.0420880377674426 - 0.307614885324857*(x_1 + x_2 + cos(x_3) + 1.53430812651459)/x_2,4.19391,0.26244906,0.9854759285226464,0.7802,0.0
x_1/(x_1 + tan(sin(x_1))),exp(0.00794992753532331*(sin(x_2*x_3) - 36.5210024162092)*cos(0.673680923406872*x_1)),0.04117306,0.17466897,0.5014793574810028,0.1281,0.0
(x_3 + sin(x_1)/x_2)/x_3,(x_3 - 0.0286234671276048 + tan(sin(x_1 - 0.0200971691831092*x_2))/x_2)/x_3,4.068553,0.13584694,0.8174658715724945,0.8323,0.0
x_2*x_3/(x_1*(x_1 + sqrt(x_2))),(x_2*x_3/(x_1 - 337.82600785154) + cos(4.85901811380749*x_1))/(x_1 - 1.0348728531666),857166.94,27.981834,-0.0003733634948730469,0.0065,0.0
x_1*sin(x_2 + x_3*sin(x_1)),(x_1 - 0.77687771856463)*sin(x_2 - 0.83074218368598*x_3),27.446306,3.5552335,-0.6326278448104858,0.0296,0.0
cos((x_1 + x_2)*(x_1 + x_3 + 1)),-0.155645777138248*sin(1.64325297124315*x_3) + sin(0.928945891858201*x_1*x_2),1.0062127,0.8139372,-1.0014536380767822,0.0349,0.0
x_2**2*sin(x_1 - 1) - 1,x_2**2*sin(x_1 - 1.00000382057053) - 0.000746149094993322*x_3 - 0.997824672755087,2.3534092e-05,0.0040751295,0.9999999767115941,0.9949,1.0
x_2/(x_1*(x_2 + sin(x_1 + x_3))),exp(0.134258285884426*x_1)/(-16.0731016801343*x_1*tan(0.000564153554463082*x_3) + x_1),312.9882,0.7065901,0.7748986631631851,0.0352,0.0
x_3 - 1/(x_1 + exp(x_2)),x_3 + 1/(-x_1 + exp(x_2) + 1.02616985158803),574.7024,1.1568244,-0.09636545181274414,0.7477,0.0
x_2**2 - cos(sin(x_1)),x_2**2 - 0.000153535383690229*x_3 - cos(sin(x_1)),7.845846e-07,0.00076676655,0.9999999991146185,0.9996,1.0
sqrt(x_1*(x_2/x_3 + x_3)),sqrt(Abs(x_1))*sqrt(Abs(0.461563553415896*x_2 + x_3)),42.361664,1.5778192,0.03487509489059448,0.1557,0.0
log(exp(x_1 + x_2) + log(x_2)),0.833437166808866*x_1 + x_2 - x_2/(-1.41084336751006*x_2 + sin(x_3)),47934.402,3.1541414,-1752.6224365234375,0.3057,0.0
x_1*x_2/log(log(-x_1)),x_2*(x_1 + 1.74689829689988)/cos(1.83054111396/(x_1 + 1.75426068793431)),200646.73,67.89666,-1.6691813468933105,0.0012,0.0
sqrt(-1 + (x_1*x_2 + x_2)/x_3),log(Abs(x_2)*Abs(3.51788024894419*x_1 + 4.28109186193272)/Abs(x_3)),9.954129,1.1677933,0.3820035457611084,0.0592,0.0
x_2*sin(x_1 - x_3**2),x_2*sin(x_1 + 0.0599283305435128*x_3) - 0.19565198915437*sin(x_1),30.639072,3.8216777,-0.8488188982009888,0.054,0.0
cos(sin(x_2) + x_3/x_1),-0.233130671145778*sin(x_3 - 1.53900796187429) + cos(sin(0.237550908805427*x_2)/x_1),0.8170808,0.68753386,-0.955230712890625,0.0595,0.0
x_2 - log((x_1 - 1)**2),x_2 + 0.000394206015107941*x_3 - log(0.998672348057116*(0.999034478714543*x_1 - 1)**2),0.0009124802,0.0045452816,0.9999752911680844,0.9936,1.0
sqrt(tan(x_2*(-x_1 + exp(-1)))),exp(-0.00479696015567695*tan(x_1 - 0.0754418602191141*x_2 + x_3 - 1.52955310160232)),1.9749032e+19,44440708.0,-3.375300586156065e+18,0.0694,
-x_2*sin(x_1*x_3 + 1) - 1,-x_2*cos(2.39064257888789*x_1*x_2) + cos(x_3 - 1.14690489197086) - 1.21437290588656,34.263863,4.1694546,-1.0229463577270508,0.0323,0.0
-x_1 + exp(-sin(x_1/x_2)),-x_1 + exp(-sin(1.03454184381987*(x_1 - 0.00791343391214206*x_3 - 0.214792591986655)/x_2)),0.057963684,0.0908844,0.9982795623363927,0.8554,0.0
x_1 - x_2**2 + x_2 + x_3 - 1,x_1 + x_3 - (x_2 - 0.499872373340367)**2 - 0.74928814876411,2.8731995e-06,0.0014127416,0.9999999970906002,1.0,0.0
log(cos(exp(-1/cos(x_1)))),-0.000347825756924362*tan(x_1 - sin(x_2*(x_3 - 0.0299674590600597))) - 0.165681926650625,0.27868837,0.24415696,-0.010954141616821289,0.0037,0.0
x_1 - x_2*cos(x_1**3),x_1 - x_2*cos(0.289524217787446*x_1**5*x_3),29.567345,3.655022,0.40943408012390137,0.1873,0.0
sin(x_2*x_3/x_1) - 1,sin(x_2*x_3/x_1) - 1.00637134343617,4.0594477e-05,0.006371379,0.9999151531956159,0.866,1.0
sqrt(x_2/(x_1 + x_1/sin(x_1))),tan(x_1) + 0.0127158151912259*Abs(x_2)*Abs(0.735404288271954*x_3 + 0.253334454869506)/Abs(x_1),5565.72,6.650283,-5.660785675048828,0.0193,0.0
sin(cos(x_1*tan(x_1) + x_1)),0.138116414485403*sin(x_2*x_3) + cos((x_1 + 0.128880662731637)**3),0.793993,0.7059078,-0.9820556640625,0.0405,0.0
x_2/(x_2 + sqrt(x_1*x_3)) + x_3,x_1/(x_1/x_2 - 1.17552845703494*x_3) + x_3 + 3.64553293763146,578709570.0,249.95763,-0.00019419193267822266,0.0242,0.0
log(sqrt(x_1*sin(x_2))),-0.239027748861211*x_1/(x_1 + 0.0102079956752292*x_3) + cos(x_2)**2,1.0318625,0.7525779,-1.135890245437622,0.0167,0.0
x_3 + 1 - 1/(x_1 + x_2*x_3),x_3 + 0.940862529284822 + cos(1.68865631606045*x_1)/(x_1 + x_2*(x_3 + 0.00114503603003331)),5.0867777,0.27179813,0.8826276808977127,0.7555,0.0
-x_1 + x_2*cos(x_3 - sin(x_3)),-0.999321223676757*x_1 + x_2*cos(x_3 - sin(x_3)),1.5517453e-05,0.00341612,0.9999997278230239,0.9963,1.0
x_2*(x_2 + x_3) - cos(tan(x_1)),x_2*(x_2 + x_3) - 0.994928319089633*cos(tan(x_1)),1.5088892e-05,0.0035887044,0.9999999923648071,0.9982,1.0
cos(x_2)/cos(x_1/x_3),cos(1.97923325454223*x_1 - x_2)/cos((x_1 + 0.0593164254608419)/x_3),122614.04,10.553877,-14.313151359558105,0.0441,0.0
-x_1 + tan(x_1*x_2**2 - x_3),(((-1)*(x_1))+(tan((x_3)+((x_1)*(x_2))))),76873310.0,97.38987,-0.00011301040649414062,0.0787,0.0
x_1**2 + x_2 - cos(x_2 - x_3),x_1**2 + x_2 - cos(0.999775361009511*x_2 - x_3),8.370351e-07,0.0007124882,0.9999999990941386,0.9999,1.0
x_2*cos(x_2) + cos(x_1/x_2),x_2*cos(x_2) + cos(x_1/(x_2 - 0.0173440005948236)),0.030204205,0.039279364,0.9984638491878286,0.878,0.0
cos(x_1 - tan(x_2)**2),0.120205771687787*cos(x_1 - x_2 - 2.27525334196563*tan(x_3) + 0.509120694108753),0.52056485,0.6502552,-0.017966032028198242,0.003,0.0
tan(x_1*cos(1/x_1)/x_2),tan(x_1/x_2 - 0.234574946070102*sin(1.05615811489905*x_3 + 0.0521700640549601)),837896.0,16.069605,-70.31412506103516,0.0467,0.0
-x_1*(x_1 + sin(x_1 + x_2)),(-x_1 + cos(x_1 + x_2 + 1.57073670098623))*(x_1 + 0.00077148799609794),2.0427353e-05,0.003900305,0.9999999775624797,1.0,0.0
sin(log(-x_1/x_2 + x_2)),0.00261001875551754*x_2 + cos(tan(x_1 - 1.15877984985211*x_3)/x_2) - 0.0241290472180948,0.3486985,0.34112412,-1.1444931030273438,0.2766,0.0
